sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Warmup,100000,4,1,128,3.2915007242289955,0.0,1029.770670071775,11.061989619911646,11.0
10 users,100000,4,1,50,2.677816739360631,0.0,1086.8738248176771,11.675402415033638,11.0
20 users,100000,6,1,137,6.53769077980903,0.0,1533.5541651331125,16.473726383265856,11.0
50 users,100000,16,1,329,32.532484940426855,0.0,1650.9278214356468,17.734576206828237,11.0
100 users,100000,26,1,787,48.66587019690905,0.0028,1468.7091515267232,21.79713546638859,15.1972
200 users,100000,9,1,522,17.793717183655023,0.0,1508.727991430425,16.207038970444017,11.0
TOTAL,600000,11,1,787,26.362607578044237,4.6666666666666666E-4,1325.5625908562693,15.144984098772088,11.699533333333333
