sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Warmup,100000,5,2,277,4.605105646898886,0.0,949.1718475630013,10.196181956243178,11.0
10 users,100000,4,1,31,2.428092081264629,0.0,1028.9865511457765,11.05356646738627,11.0
20 users,100000,7,1,503,8.083630669222833,1.0E-5,1401.2274752683352,15.074347706716082,11.01615
50 users,100000,18,2,505,37.106654458040275,0.0,1507.068149621726,16.189208638514632,11.0
100 users,100000,24,2,665,45.004322067814776,0.00123,1367.1848297171293,17.387560262943822,13.02301
200 users,100000,17,1,1049,48.72346011235142,0.00354,1322.5938711000015,21.147759360658124,16.37336
TOTAL,600000,13,1,1049,32.196038656945525,7.966666666666667E-4,1219.527067403261,14.571704952194539,12.23542
