sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Warmup,100000,4,1,245,2.930367805839397,0.0,1043.2750490339274,11.207056190794141,11.0
10 users,100000,4,1,329,3.5795943761130253,4.0E-5,1097.9961570134503,11.859173414768048,11.05996
20 users,100000,6,1,145,6.173616630071875,0.0,1551.9515791107317,16.671354853728563,11.0
50 users,100000,14,1,392,32.499445864505134,0.0,1657.5501408917619,17.805714404110724,11.0
100 users,100000,18,1,582,37.05840797413591,7.0E-5,1455.2439716518475,15.781623474722412,11.10493
200 users,100000,6,1,397,9.95625024795982,0.0,1524.0417587441898,16.37154233025985,11.0
TOTAL,600000,9,1,582,21.50861811108121,1.8333333333333333E-5,1336.7226679202156,14.395199915925714,11.027481666666667
