sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Warmup,100000,5,1,518,17.945249178183623,7.1E-4,897.6580102512545,12.757859276397879,14.55348
10 users,100000,5,1,520,18.536087782226325,7.2E-4,964.7201829109466,13.731585903508687,14.57536
20 users,100000,7,1,585,23.84230634219559,0.00151,1451.420941101338,23.109172708206334,16.30388
50 users,100000,16,1,937,44.94552421018026,0.00239,1603.6434779819751,28.548173951217166,18.22932
100 users,100000,33,1,662,67.58890465453335,0.00635,1476.2762408101803,38.76218446902034,26.88689
200 users,100000,52,1,1135,106.94404264361808,0.02025,1351.8080432578574,74.03498859411964,56.0818
TOTAL,600000,20,1,1135,59.28084918018632,0.005321666666666666,1223.4935226213756,29.199503315794892,24.438455
