sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Warmup,100000,3,1,345,4.2330517573495365,0.0,1082.5908564376266,11.629393965638567,11.0
10 users,100000,3,1,47,2.052249748544265,0.0,1140.029868782562,12.246414606062679,11.0
20 users,100000,6,1,401,6.60126484679262,0.0,1576.7150718193714,16.937368935559654,11.0
50 users,100000,14,1,380,31.92096733746645,0.0,1714.5012515859137,18.417493913520556,11.0
100 users,100000,25,1,618,42.174847983692835,7.4E-4,1497.2301242701003,17.92782473517742,12.26137
200 users,100000,34,1,762,62.21718360411295,0.00207,1371.7232959767357,19.1975756291066,14.33111
TOTAL,600000,14,1,762,35.48856440587587,4.6833333333333335E-4,1350.314285649985,15.51465400446954,11.765413333333333
